ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,Predicted Deaths (yhat),Lower Bound (yhat_lower),Upper Bound (yhat_upper)
2020-01-22,-521.7709537559999,-3557.470025444095,2430.722065143853,-521.7709537559999,-521.7709537559999,-191.37479910649068,-191.37479910649068,-191.37479910649068,-191.37479910649068,-191.37479910649068,-191.37479910649068,0.0,0.0,0.0,-713.1457528624906,-713,-3557,2430
2020-01-23,-432.73182177311224,-2913.791362105127,2995.089524464829,-432.73182177311224,-432.73182177311224,388.5869411500488,388.5869411500488,388.5869411500488,388.5869411500488,388.5869411500488,388.5869411500488,0.0,0.0,0.0,-44.14488062306344,-44,-2913,2995
2020-01-24,-343.6926897902246,-2689.2248777311597,3608.794519425824,-343.6926897902246,-343.6926897902246,874.8016233772896,874.8016233772896,874.8016233772896,874.8016233772896,874.8016233772896,874.8016233772896,0.0,0.0,0.0,531.1089335870649,531,-2689,3608
2020-01-25,-254.65355780733685,-2576.1090973788564,3438.266072090973,-254.65355780733685,-254.65355780733685,727.2987974319122,727.2987974319122,727.2987974319122,727.2987974319122,727.2987974319122,727.2987974319122,0.0,0.0,0.0,472.6452396245754,472,-2576,3438
2020-01-26,-165.61442582444917,-3348.3621237703883,2644.9724292533892,-165.61442582444917,-165.61442582444917,-165.7017247705202,-165.7017247705202,-165.7017247705202,-165.7017247705202,-165.7017247705202,-165.7017247705202,0.0,0.0,0.0,-331.3161505949694,-331,-3348,2644
2020-01-27,-76.57529384156153,-3934.379066083091,1894.9843932486608,-76.57529384156153,-76.57529384156153,-905.321484758773,-905.321484758773,-905.321484758773,-905.321484758773,-905.321484758773,-905.321484758773,0.0,0.0,0.0,-981.8967786003345,-981,-3934,1894
2020-01-28,12.463838141326256,-3591.551795901455,2299.1481646468505,12.463838141326256,12.463838141326256,-728.2893533216087,-728.2893533216087,-728.2893533216087,-728.2893533216087,-728.2893533216087,-728.2893533216087,0.0,0.0,0.0,-715.8255151802824,-715,-3591,2299
2020-01-29,101.50311796363052,-3009.4314670256745,2633.44937042042,101.50311796363052,101.50311796363052,-191.37479910597597,-191.37479910597597,-191.37479910597597,-191.37479910597597,-191.37479910597597,-191.37479910597597,0.0,0.0,0.0,-89.87168114234545,-89,-3009,2633
2020-01-30,190.5423977859349,-2405.2928730346093,3431.218241723821,190.5423977859349,190.5423977859349,388.5869411505435,388.5869411505435,388.5869411505435,388.5869411505435,388.5869411505435,388.5869411505435,0.0,0.0,0.0,579.1293389364785,579,-2405,3431
2020-01-31,279.5816776082393,-1612.6034104498337,4012.614391263384,279.5816776082393,279.5816776082393,874.8016233763516,874.8016233763516,874.8016233763516,874.8016233763516,874.8016233763516,874.8016233763516,0.0,0.0,0.0,1154.383300984591,1154,-1612,4012
